Country,SSM,SARL,PCMO,General DUTY,Region,Notes,SSM Contact Type
Madagascar,261-33-11-85-33,?? ,261-33-11-97-92,261-33-11-85-34,AF,+261-33-11-406-74 second PCMO. no SSM or SARL,cell
Malawi,265-888-324-492,??,265-999-960-0,265-999-967-777,AF,no duty numbers for SSM or SARL,emergancy 
Mali,??,??,??,??,AF,closed,cell
Mexico,52-1-442-359-8360,??,521-442-359-8353,521-442-359-8361,IAP,no duty numbers for SSM or SARL,
Moldova,373-692-95-955,373-69-11-11-6,373-600-66-844,373-69-11-11-5,EMA,no duty number for SSM,cell for back-up SSM
Mongolia,976-9501-2309,976-999-1-32,976-9907-2322,976-9901-6277,EMA,no duty number for SSM,cell
Morocco,??,212-662-72-67-36,212-6-61-18-71-77,212-6-61-37-37-67,AF,no duty number for SSM,no SSM listed
Mozambique,258-84-380-3359,??,258-82-30-75-270,258-82-307-5260,AF,"+258-82-301-1570 (PST Duty Officer), '+258-82-72-53-236 (Maputo Med cell #), +258-84-40-88-330 (Nampula - Vodacom#)",Blackberry
Myanmar,+09 97-652-1287,??,??,??,IAP,no duty numbers listed,cell
Namibia,264-811-286-126,264-814-201-98,264-811-278-152,??,AF,no duty numbers for SSM or general ,cell
Nepal,977-980-200-3104,977-980-200-3125,977-980-200-3258,977-98-200-3120,EMA,no duty number for SSM,cell
Nicaragua,??,??,505-8853-3685,505-8853-3686,IAP,no duty number for SSM or SARL,no SSM listed
Panama,11-507-6671-2552,??,11-507-6671-2547,11-507-6676-3131,IAP,no duty number for SSM or SARL,emergancy 
Paraguay,595-984-610-16,??,595-981-444-312,595-984-152-162,IAP,no duty number for SSM or SARL,cell
Peru,51-9-9620-135,??,51-95956-9678,51-99999-1711,IAP,no duty number for SSM or SARL,cell
Philippines,63-998-842-609,63-908-897-9676,63-920-913-8453,63-918-916-3865,IAP,no duty number for SSM,cell
Rwanda,250-788-301-697,250-788-381-119,250-788-301-781,250-788-301-749,AF,no duty number for SSM '+250-788-309-207 second PCMO duty,cell
Samoa,685-777-345,685-777-348,685-777-344,685-770-345,IAP,no duty number for SSM,residence 
Senegal,221-77-332-67-11,??,221-77-639-87-11,221-77-99-42-24,AF,no duty number for SSM or SARL,cell
Sierra Leone,232-78-612-1,??,232-78-716-525,232-78-200-892,AF,no duty number for SSM or SARL,cell
South Africa,27-79-111-6073,27-79-564-5446,27-79-111-5808,27-79-111-5810,AF,no duty number for SSM,cell
Swaziland,268-7602-8525,268-7802-5102,??,268-7602-8534,AF,no duty number for SSM or PCMO,cell
Tanzania,255-782-783-62,255-689-122-431,255-783-783-51,255-782-783-53,AF,no duty number for SSM,cell
Thailand,668-1-907-2636,??,668-1-811-5855,668-1-721-9012,IAP,no duty number for SSM or SARL,cell (double check)
The Gambia,220-390-4011,??,220-775-5606,220-439-1803,AF,no duty number for SSM or SARL,cell
Timor-Leste,670-7723-9111,670-7739-5853,670-77127883,670-77395879,IAP,no duty number for SSM,alternate
Togo,228-9036-6065,??,228-9011-7392,228-9004-3422,AF,no duty number for SSM or SARL,cell
Tonga,676-886-3134,676-886-3004,676-886-3129,676-786-3008,IAP,"+676-886-8511 second general duty, no SSM","cell, backup SSM"
Uganda,256-772-139848,256-772-139-836,256-757-700-538,256-772-139-834,AF,no duty number for SSM,cell
Ukraine,??,38-50-315-8753,380-50-330-2122,380-50-335-8816,EMA,no duty number for SSM,No SSM listed
Vanuatu,678-55-83-759,??,678-561-963,678-710-138,IAP,"+678-555-4742, '+678-5508911,'+678-7758911, other duty numbers, '+678-773-3287 other med duty number","cell, '+678-77-85-696 2nd cell"
Zambia,260-96-678-2327,??,260-96-609-3444,260-976-645-444,AF,no SSM or SARL duty number,"cell, +60-97-735-1717 2nd cell"
